Origem,Ano,MesDesc,textbox_MatrixRow_EnergiaProduzida,Textbox32,
Central das Ondas,1993,Agosto,-,31 254 747,
Central das Ondas,1993,Setembro,-,29 980 854,
Central das Ondas,1993,Outubro,-,29 624 709,
Central das Ondas,1993,Novembro,-,29 063 049,
Central das Ondas,1993,Dezembro,-,30 571 317,
Central das Ondas,1994,Janeiro,-,29 947 286,
Central das Ondas,1994,Fevereiro,-,27 076 901,
Central das Ondas,1994,Março,-,29 704 628,
Central das Ondas,1994,Abril,-,27 719 412,
Central das Ondas,1994,Maio,-,29 310 471,
Central das Ondas,1994,Junho,-,29 175 714,
Central das Ondas,1994,Julho,-,31 327 307,
Central das Ondas,1994,Agosto,-,31 855 560,
Central das Ondas,1994,Setembro,-,32 038 266,
Central das Ondas,1994,Outubro,-,32 261 364,
Central das Ondas,1994,Novembro,-,30 595 649,
Central das Ondas,1994,Dezembro,-,31 632 266,
Central das Ondas,1995,Janeiro,-,31 395 309,
Central das Ondas,1995,Fevereiro,-,27 822 359,
Central das Ondas,1995,Março,-,31 084 930,
Central das Ondas,1995,Abril,-,29 061 424,
Central das Ondas,1995,Maio,-,31 674 670,
Central das Ondas,1995,Junho,-,30 860 351,
Central das Ondas,1995,Julho,-,33 314 337,
Central das Ondas,1995,Agosto,-,34 472 960,
Central das Ondas,1995,Setembro,-,32 571 201,
Central das Ondas,1995,Outubro,-,32 877 673,
Central das Ondas,1995,Novembro,-,31 027 499,
Central das Ondas,1995,Dezembro,-,32 966 150,
Central das Ondas,1996,Janeiro,-,32 362 523,
Central das Ondas,1996,Fevereiro,-,30 415 458,
Central das Ondas,1996,Março,-,32 175 776,
Central das Ondas,1996,Abril,-,30 193 171,
Central das Ondas,1996,Maio,-,31 465 553,
Central das Ondas,1996,Junho,-,31 862 610,
Central das Ondas,1996,Julho,-,34 741 729,
Central das Ondas,1996,Agosto,-,35 988 934,
Central das Ondas,1996,Setembro,-,34 429 873,
Central das Ondas,1996,Outubro,-,35 088 864,
Central das Ondas,1996,Novembro,-,33 283 118,
Central das Ondas,1996,Dezembro,-,34 015 224,
Central das Ondas,1997,Janeiro,-,34 778 742,
Central das Ondas,1997,Fevereiro,-,30 301 470,
Central das Ondas,1997,Março,-,32 962 244,
Central das Ondas,1997,Abril,-,32 307 087,
Central das Ondas,1997,Maio,-,33 126 439,
Central das Ondas,1997,Junho,-,33 069 143,
Central das Ondas,1997,Julho,-,36 653 860,
Central das Ondas,1997,Agosto,-,37 323 262,
Central das Ondas,1997,Setembro,-,36 011 983,
Central das Ondas,1997,Outubro,-,37 592 249,
Central das Ondas,1997,Novembro,-,34 833 785,
Central das Ondas,1997,Dezembro,-,37 264 381,
Central das Ondas,1998,Janeiro,-,36 676 607,
Central das Ondas,1998,Fevereiro,-,32 870 929,
Central das Ondas,1998,Março,-,35 714 035,
Central das Ondas,1998,Abril,-,34 420 448,
Central das Ondas,1998,Maio,-,36 091 693,
Central das Ondas,1998,Junho,-,36 459 508,
Central das Ondas,1998,Julho,-,40 418 212,
Central das Ondas,1998,Agosto,-,41 256 701,
Central das Ondas,1998,Setembro,-,40 365 519,
Central das Ondas,1998,Outubro,-,40 657 600,
Central das Ondas,1998,Novembro,-,38 939 970,
Central das Ondas,1998,Dezembro,-,39 639 485,
Central das Ondas,1999,Janeiro,-,39 649 420,
Central das Ondas,1999,Fevereiro,-,35 067 360,
Central das Ondas,1999,Março,-,38 602 570,
Central das Ondas,1999,Abril,-,37 871 480,
Central das Ondas,1999,Maio,-,39 174 510,
Central das Ondas,1999,Junho,-,39 717 820,
Central das Ondas,1999,Julho,-,43 941 365,
Central das Ondas,1999,Agosto,-,45 178 580,
Central das Ondas,1999,Setembro,-,42 473 685,
Central das Ondas,1999,Outubro,-,42 162 835,
Central das Ondas,1999,Novembro,-,40 236 120,
Central das Ondas,1999,Dezembro,-,43 711 430,
Central das Ondas,2000,Janeiro,-,42 140 702,
Central das Ondas,2000,Fevereiro,-,39 532 406,
Central das Ondas,2000,Março,-,41 616 705,
Central das Ondas,2000,Abril,-,38 955 855,
